Designator,Mid X,Mid Y,Rotation,Layer
C1,167.5,-83.71,0.0,top
C10,173.54,-90.47,90.0,top
C11,161.77,-82.015,0.0,top
C12,173.115,-80.425,180.0,top
C13,190.39,-74.02,180.0,top
C14,204.56,-94.45,270.0,top
C15,200.62,-93.65,180.0,top
C16,207.52,-73.57,0.0,top
C17,202.97,-94.45,270.0,top
C18,192.19,-94.34,270.0,top
C19,207.52,-75.27,0.0,top
C2,166.92,-73.78,270.0,top
C20,187.895667,-90.773167,270.0,top
C21,208.44,-88.935,270.0,top
C24,227.25,-71.945,270.0,bottom
C27,227.35,-85.155,270.0,bottom
C28,209.11,-77.19,0.0,top
C29,190.41,-72.47,180.0,top
C3,169.02,-73.78,270.0,top
C30,188.965,-66.07,0.0,top
C4,175.15,-86.78,270.0,top
C5,173.53,-86.8,270.0,top
C6,175.17,-90.47,270.0,top
C7,194.52,-93.63,0.0,top
C8,186.16,-87.4625,90.0,top
C9,186.12,-90.7675,270.0,top
CR1,180.24,-77.32,180.0,top
CR2,180.3,-82.09,180.0,top
D1,219.1,-62.55,180.0,top
D10,219.89,-85.3,0.0,top
D2,162.17,-87.59,90.0,top
D3,210.6525,-62.55,180.0,top
D4,220.9375,-76.9125,90.0,top
D5,220.96,-90.2475,90.0,top
D6,214.865,-62.57,180.0,top
D7,173.58,-73.71,180.0,top
D8,216.8075,-80.5,180.0,top
D9,220.12,-71.93,0.0,top
J1,174.14,-66.825,0.0,top
J2,199.71,-61.54,180.0,top
J3,185.79,-79.37,180.0,top
J4,226.99,-85.235,90.0,top
J5,226.89,-72.12,90.0,top
J6,210.525,-96.17,0.0,top
L1,168.31,-88.74,0.0,top
Q2,216.56,-76.8525,90.0,top
Q3,216.5425,-90.175,90.0,top
R1,219.1025,-64.14,0.0,top
R10,220.045,-80.49,180.0,top
R11,213.74,-76.68,90.0,top
R12,213.76,-89.97,90.0,top
R13,202.94,-68.935,270.0,top
R14,197.56,-68.915,270.0,top
R15,197.58,-93.64,0.0,top
R19,226.47,-69.245,0.0,bottom
R2,173.07,-78.875,180.0,top
R20,226.51,-75.075,0.0,bottom
R21,187.9,-87.48,270.0,top
R22,222.85,-72.02,270.0,top
R27,226.575,-82.465,0.0,bottom
R28,226.615,-87.975,0.0,bottom
R29,222.68,-85.31,270.0,top
R3,210.635,-64.13,0.0,top
R30,219.3275,-76.9475,270.0,top
R31,219.3125,-90.2775,270.0,top
R32,185.77,-66.05,180.0,top
R4,161.77,-80.405,0.0,top
R5,173.09,-81.94,180.0,top
R6,173.11,-83.49,0.0,top
R7,173.07,-77.32,180.0,top
R8,214.8525,-64.15,0.0,top
R9,161.75,-78.775,0.0,top
SW1,187.44,-61.79,0.0,top
U1,180.62,-88.67,180.0,top
U2,167.11,-80.12,180.0,top
U3,200.2225,-69.51,90.0,top
U4,214.175,-85.075,270.0,top
U5,198.54,-83.465,0.0,top
U7,214.43,-72.02,270.0,top
Y1,197.56,-96.28,0.0,top
